StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Luddy or not?,"other_department ","luddy_department ",sense of belonging _1,sense of belonging _2,sense of belonging _3,sense of belonging _4,sense of belonging _5,sense of belonging _6,sense of belonging _7,sense of belonging _8,sense of belonging _9,sense of belonging _10,sense of belonging _11,sense of belonging _12,sense of belonging _13,sense of belonging _14,sense of belonging _15,sense of belonging _16,Q19,Q12,Q13,Q15,Q16,Q17,Q14,Q6,Q10,Q10_4_TEXT,Q11,Q12,nationality,Q22
2022-09-07 07:08:07,2022-09-07 07:10:39,IP Address,129.79.197.173,100,151,True,2022-09-07 07:10:39,R_3QKRvSUfvtQRAZB,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,two years,Yes,No,Yes,Yes,Yes,Yes,Informatics Ethics - I453,Male,,White or Caucasian,No,,Q2LUD2F-4917
2022-09-07 07:08:12,2022-09-07 07:11:04,IP Address,129.79.197.29,100,172,True,2022-09-07 07:11:05,R_3gNnVcPGeHFgxYR,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,INFO I453 Computer and Information Ethics,Female,,White or Caucasian,No,,
2022-09-07 07:08:25,2022-09-07 07:11:20,IP Address,129.79.197.177,100,175,True,2022-09-07 07:11:20,R_3HgWeRXAZQt8IXD,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,Info I-453,Male,,White or Caucasian,No,,Q2LUD2F-5570
2022-09-07 07:08:35,2022-09-07 07:11:32,IP Address,149.159.220.25,100,177,True,2022-09-07 07:11:32,R_1l3HsfwGkXorbGI,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,two years,No,No,Yes,No,Yes,Yes,computer and information ethics,Female,,White or Caucasian,No,,
2022-09-07 07:52:39,2022-09-07 07:56:04,IP Address,129.79.197.54,100,205,True,2022-09-07 07:56:05,R_2uvn5fSEZ8wNbjJ,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,The Information Society: i222,Male,,White or Caucasian,Yes,,
2022-09-07 08:51:07,2022-09-07 08:53:56,IP Address,129.79.197.147,100,168,True,2022-09-07 08:53:57,R_PScJKiGfIyBaLPH,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Info 222,Male,,Other,No,,
2022-09-07 09:06:37,2022-09-07 09:09:35,IP Address,129.79.197.226,100,178,True,2022-09-07 09:09:35,R_2ykMzyVj0oOs66S,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",College of Arts and Sciences,,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,I222 The Information Society,Non-binary / third gender,,White or Caucasian,No,,Q2LUD2F-8272
2022-09-07 09:26:29,2022-09-07 09:28:35,IP Address,129.79.197.103,100,125,True,2022-09-07 09:28:38,R_OuKbwCcTHNehwHv,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Kelley School of Business,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,No,Yes,Yes,Yes,Yes,I222,Male,,White or Caucasian,No,,
2022-09-07 09:28:18,2022-09-07 09:29:59,IP Address,129.79.197.55,100,101,True,2022-09-07 09:30:00,R_yVndSCObT6bUaAN,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,two years,Yes,Yes,Yes,Yes,Yes,Yes,INFO 222,Female,,Asian,No,,
2022-09-07 11:21:36,2022-09-07 11:24:22,IP Address,96.82.50.177,100,166,True,2022-09-07 11:24:23,R_2ZDBUNFWQtxBWjr,,,,,39.7536,-86.1935,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,I-222,Male,,White or Caucasian,No,,ok
2022-09-07 12:06:04,2022-09-07 12:09:17,IP Address,129.79.197.251,100,192,True,2022-09-07 12:09:18,R_1MY61OsdaSlFCus,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,"Information Society ",Female,,White or Caucasian,No,,
2022-09-07 12:44:48,2022-09-07 12:47:40,IP Address,129.79.197.222,100,171,True,2022-09-07 12:47:40,R_3KT9q3X7U8sGA2y,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Kelley,,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,The Information Society,Male,,White or Caucasian,No,,
2022-09-07 13:04:30,2022-09-07 13:07:33,IP Address,50.195.205.117,100,182,True,2022-09-07 13:07:34,R_3oC7KVLTYXg2BOJ,,,,,39.0493,-87.1717,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,The Information Society I-222,Male,,White or Caucasian,No,,
2022-09-07 09:39:37,2022-09-07 13:16:48,IP Address,66.244.84.63,100,13031,True,2022-09-07 13:16:48,R_Q5qWxn5hrnaAytj,,,,,39.1963,-86.5776,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,"I-222, The information Society",Male,,White or Caucasian,No,,Thank you
2022-09-07 13:26:01,2022-09-07 13:27:44,IP Address,153.33.50.31,100,103,True,2022-09-07 13:27:45,R_1K0yo81qoqxQUPE,,,,,39.2273,-86.466,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,No,Yes,Yes,Yes,Yes,I222,Male,,White or Caucasian,Yes,,
2022-09-07 13:39:41,2022-09-07 13:42:31,IP Address,129.79.197.234,100,170,True,2022-09-07 13:42:32,R_2OIM9pZUtQIqZae,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,I222,Male,,White or Caucasian,No,,
2022-09-07 14:07:59,2022-09-07 14:09:43,IP Address,129.79.197.116,100,104,True,2022-09-07 14:09:43,R_3jfAxWpeaK4TlSR,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",University Division,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,The Information Society,Male,,White or Caucasian,No,,
2022-09-07 14:07:40,2022-09-07 14:10:42,IP Address,129.79.197.245,100,182,True,2022-09-07 14:10:43,R_2tlLQOa6cURShvQ,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,INFO-I 222,Female,,White or Caucasian,No,,
2022-09-07 15:12:53,2022-09-07 15:15:36,IP Address,129.79.197.11,100,162,True,2022-09-07 15:15:36,R_1fkHkTjYFOYk9CH,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,INFO-I222,Male,,White or Caucasian,No,,
2022-09-07 17:03:42,2022-09-07 17:06:25,IP Address,149.159.220.75,100,162,True,2022-09-07 17:06:25,R_3MFjvWCZQCPqDra,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,The Information Society,Male,,White or Caucasian,No,,Q2LUD2F-1355
2022-09-07 17:26:10,2022-09-07 17:28:26,IP Address,129.79.197.23,100,135,True,2022-09-07 17:28:27,R_wNLl9wkQV39zSyl,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Kelley School of Business,,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,Info I222,Male,,Asian,No,,
2022-09-07 18:33:52,2022-09-07 18:36:36,IP Address,173.230.105.15,100,163,True,2022-09-07 18:36:37,R_2qruPX9ofbUDtwh,,,,,39.1215,-86.5784,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,"Information Society ",Female,,Black or African American,No,,
2022-09-07 20:34:18,2022-09-07 20:36:26,IP Address,68.45.53.69,100,128,True,2022-09-07 20:36:27,R_2VxazuyVinsrKe3,,,,,39.1215,-86.5784,anonymous,EN,"No, I am a student in another school/department",Jacobs School of Music,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,four years,Yes,Yes,Yes,Yes,Yes,Yes,Information Society,Male,,White or Caucasian,No,,
2022-09-07 21:18:26,2022-09-07 21:22:36,IP Address,96.68.196.189,100,249,True,2022-09-07 21:22:36,R_1NtaqBuXG0uz9Db,,,,,40.5025,-86.1462,anonymous,EN,"Yes, I am a student in the Luddy School",,Other,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,The Information Society,Male,,Other,No,,
2022-09-08 06:19:50,2022-09-08 06:22:32,IP Address,129.79.197.96,100,161,True,2022-09-08 06:22:32,R_2TvJYHLfru0TplL,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,INFO-I222,Male,,White or Caucasian,No,,
2022-09-08 12:05:05,2022-09-08 12:07:17,IP Address,129.79.197.192,100,131,True,2022-09-08 12:07:17,R_31sxAi7BUQMw8Cl,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat disagree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Information Society,Male,,White or Caucasian,No,,
